Cnt:  30,interval:  30, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -19, -454, -918,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  31,interval:  31, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -24, -444, -917,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  32,interval:  32, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -24, -444, -917,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  33,interval:  33, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -16, -447, -918,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  34,interval:  34, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -16, -447, -918,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  35,interval:  35, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -16, -460, -933,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -933,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  36,interval:  36, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -16, -460, -933,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -933,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  37,interval:  37, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -13, -505, -903,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -505, -933,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  38,interval:  38, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -13, -505, -903,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -505, -933,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  39,interval:  39, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -42, -461, -911,            dc:  500,  500,  500,max:    0,    0,    0,min:  -42, -505, -933,            precision:    5,    5,    5,            InvalidSteps:   0
